D;8.9375;BWV1001_bwv-1001_1.csv
G;8.75;BWV1001_bwv-1001_1.csv
Bb D G;6.0;BWV1001_bwv-1001_1.csv
C;5.5625;BWV1001_bwv-1001_1.csv
Eb;5.375;BWV1001_bwv-1001_1.csv
F;5.1875;BWV1001_bwv-1001_1.csv
Bb;4.875;BWV1001_bwv-1001_1.csv
A;4.375;BWV1001_bwv-1001_1.csv
Ab;3.5;BWV1001_bwv-1001_1.csv
E;2.125;BWV1001_bwv-1001_1.csv
B;1.6875;BWV1001_bwv-1001_1.csv
F#;1.6875;BWV1001_bwv-1001_1.csv
C#;1.625;BWV1001_bwv-1001_1.csv
A D G;1.5625;BWV1001_bwv-1001_1.csv
B D F G;1.5;BWV1001_bwv-1001_1.csv
A Eb F#;1.375;BWV1001_bwv-1001_1.csv
C Eb G;1.25;BWV1001_bwv-1001_1.csv
Eb G;1.0625;BWV1001_bwv-1001_1.csv
B G;0.9375;BWV1001_bwv-1001_1.csv
D F#;0.9375;BWV1001_bwv-1001_1.csv
Bb Eb F;0.75;BWV1001_bwv-1001_1.csv
A C;0.75;BWV1001_bwv-1001_1.csv
D G;0.75;BWV1001_bwv-1001_1.csv
A C F#;0.75;BWV1001_bwv-1001_1.csv
Bb G;0.75;BWV1001_bwv-1001_1.csv
D F;0.75;BWV1001_bwv-1001_1.csv
Bb F G;0.75;BWV1001_bwv-1001_1.csv
A D F#;0.625;BWV1001_bwv-1001_1.csv
C D;0.625;BWV1001_bwv-1001_1.csv
A D;0.625;BWV1001_bwv-1001_1.csv
A C# G;0.5;BWV1001_bwv-1001_1.csv
Ab C Eb;0.5;BWV1001_bwv-1001_1.csv
A C# E G;0.5;BWV1001_bwv-1001_1.csv
A C G;0.5;BWV1001_bwv-1001_1.csv
A C D G;0.5;BWV1001_bwv-1001_1.csv
A C D F#;0.5;BWV1001_bwv-1001_1.csv
A C# E;0.5;BWV1001_bwv-1001_1.csv
;0.5;BWV1001_bwv-1001_1.csv
C D G;0.5;BWV1001_bwv-1001_1.csv
C D F#;0.5;BWV1001_bwv-1001_1.csv
Bb D;0.5;BWV1001_bwv-1001_1.csv
C F#;0.4375;BWV1001_bwv-1001_1.csv
A F#;0.375;BWV1001_bwv-1001_1.csv
Ab D F;0.375;BWV1001_bwv-1001_1.csv
Ab C Eb G;0.375;BWV1001_bwv-1001_1.csv
D Eb G;0.375;BWV1001_bwv-1001_1.csv
A Bb;0.3125;BWV1001_bwv-1001_1.csv
B F G;0.25;BWV1001_bwv-1001_1.csv
Eb F#;0.25;BWV1001_bwv-1001_1.csv
C Eb;0.25;BWV1001_bwv-1001_1.csv
Bb F;0.25;BWV1001_bwv-1001_1.csv
Bb D F;0.25;BWV1001_bwv-1001_1.csv
A F;0.25;BWV1001_bwv-1001_1.csv
Eb F;0.25;BWV1001_bwv-1001_1.csv
Ab C;0.25;BWV1001_bwv-1001_1.csv
C F;0.25;BWV1001_bwv-1001_1.csv
C# G;0.25;BWV1001_bwv-1001_1.csv
B C D;0.25;BWV1001_bwv-1001_1.csv
D Eb;0.25;BWV1001_bwv-1001_1.csv
Ab C F;0.25;BWV1001_bwv-1001_1.csv
A D E;0.1875;BWV1001_bwv-1001_1.csv
A B E;0.125;BWV1001_bwv-1001_1.csv
B C;0.125;BWV1001_bwv-1001_1.csv
A Bb D;0.125;BWV1001_bwv-1001_1.csv
A G;0.125;BWV1001_bwv-1001_1.csv
Bb C# E;0.125;BWV1001_bwv-1001_1.csv
C G;0.125;BWV1001_bwv-1001_1.csv
Bb F#;0.125;BWV1001_bwv-1001_1.csv
Ab Bb F;0.125;BWV1001_bwv-1001_1.csv
Ab Bb Eb G;0.125;BWV1001_bwv-1001_1.csv
C F G;0.125;BWV1001_bwv-1001_1.csv
A C D;0.0625;BWV1001_bwv-1001_1.csv
C# E G;0.0625;BWV1001_bwv-1001_1.csv
Ab B G;0.0625;BWV1001_bwv-1001_1.csv
D;41.875;BWV1001_bwv-1001_2.csv
