G;35.875;BWV1001_bwv-1001_1.csv
D;29.4375;BWV1001_bwv-1001_1.csv
Bb;15.0625;BWV1001_bwv-1001_1.csv
A;14.6875;BWV1001_bwv-1001_1.csv
C;14.4375;BWV1001_bwv-1001_1.csv
Eb;12.3125;BWV1001_bwv-1001_1.csv
F;11.4375;BWV1001_bwv-1001_1.csv
F#;7.5625;BWV1001_bwv-1001_1.csv
Ab;5.5625;BWV1001_bwv-1001_1.csv
B;4.9375;BWV1001_bwv-1001_1.csv
E;3.625;BWV1001_bwv-1001_1.csv
C#;3.5625;BWV1001_bwv-1001_1.csv
D;140.5;BWV1001_bwv-1001_2.csv
G;99.0625;BWV1001_bwv-1001_2.csv
C;69.875;BWV1001_bwv-1001_2.csv
A;66.0;BWV1001_bwv-1001_2.csv
F;65.375;BWV1001_bwv-1001_2.csv
Bb;62.5;BWV1001_bwv-1001_2.csv
Eb;42.0625;BWV1001_bwv-1001_2.csv
E;35.25;BWV1001_bwv-1001_2.csv
C#;22.75;BWV1001_bwv-1001_2.csv
F#;21.375;BWV1001_bwv-1001_2.csv
B;13.0;BWV1001_bwv-1001_2.csv
Ab;7.25;BWV1001_bwv-1001_2.csv
Bb;32.375;BWV1001_bwv-1001_3.csv
D;31.0;BWV1001_bwv-1001_3.csv
C;29.375;BWV1001_bwv-1001_3.csv
F;27.0;BWV1001_bwv-1001_3.csv
G;23.5;BWV1001_bwv-1001_3.csv
Eb;23.25;BWV1001_bwv-1001_3.csv
A;17.5;BWV1001_bwv-1001_3.csv
E;3.0;BWV1001_bwv-1001_3.csv
F#;2.75;BWV1001_bwv-1001_3.csv
B;2.5;BWV1001_bwv-1001_3.csv
Ab;2.25;BWV1001_bwv-1001_3.csv
D;35.25;BWV1001_bwv-1001_4.csv
G;31.75;BWV1001_bwv-1001_4.csv
Bb;28.5;BWV1001_bwv-1001_4.csv
A;26.5;BWV1001_bwv-1001_4.csv
C;25.25;BWV1001_bwv-1001_4.csv
F;19.75;BWV1001_bwv-1001_4.csv
Eb;16.5;BWV1001_bwv-1001_4.csv
F#;12.25;BWV1001_bwv-1001_4.csv
E;8.0;BWV1001_bwv-1001_4.csv
Ab;4.5;BWV1001_bwv-1001_4.csv
C#;2.75;BWV1001_bwv-1001_4.csv
B;2.5;BWV1001_bwv-1001_4.csv
B;16.25;BWV1002_violin-1.csv
F#;15.25;BWV1002_violin-1.csv
E;13.0;BWV1002_violin-1.csv
D;10.25;BWV1002_violin-1.csv
C#;9.5;BWV1002_violin-1.csv
G;8.5;BWV1002_violin-1.csv
A;7.25;BWV1002_violin-1.csv
A#;5.25;BWV1002_violin-1.csv
